LOCAL;DATA;HORA;Temp. Ins. (C);TEMP MAX;Temp. Min. (C);PA INST;Pressao Max. (hPa);Pressao Min. (hPa);VEL VEN MED;Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
ARAPIRACA;14/10/2023;0;23,6;23,8;23,6;988,5;988,5;988,1;4,4;82;8,6;;0
ARAPIRACA;14/10/2023;100;23,4;23,6;23,4;988,5;988,6;988,4;3,1;79;8,3;;0
ARAPIRACA;14/10/2023;200;23,1;23,4;23,1;987,9;988,5;987,9;3,3;81;7,5;;0
ARAPIRACA;14/10/2023;300;22,8;23,1;22,8;987,7;987,9;987,7;3,5;81;9;;0
ARAPIRACA;14/10/2023;400;22,6;22,8;22,6;987,2;987,7;987,2;3,1;82;6,4;;0
ARAPIRACA;14/10/2023;500;22,2;22,6;22,2;987;987,2;986,9;1,9;92;6,3;;0
ARAPIRACA;14/10/2023;600;21,9;22,2;21,9;987,2;987,2;986,9;1,8;78;3,6;;0
ARAPIRACA;14/10/2023;700;21,5;21,9;21,4;987,5;987,5;987,2;1,7;99;3,3;;0
ARAPIRACA;14/10/2023;800;21,6;21,6;21,3;987,8;987,8;987,4;2,1;80;3,8;;0
ARAPIRACA;14/10/2023;900;22,5;22,5;21,6;988,3;988,3;987,8;2,4;79;4,4;198,3;0
ARAPIRACA;14/10/2023;1000;24,3;24,3;22,5;989,2;989,2;988,3;3,9;78;8,4;966,7;0
ARAPIRACA;14/10/2023;1100;26,9;27,2;24,4;989,4;989,4;989,2;4,9;85;8,8;1799,3;0
ARAPIRACA;14/10/2023;1200;27,8;28,6;26,8;989,6;989,6;989,4;4,6;78;9,7;2190;0
ARAPIRACA;14/10/2023;1300;29,4;29,6;27,7;989,5;989,7;989,5;4,4;85;9,1;2617,4;0
ARAPIRACA;14/10/2023;1400;30,7;31,6;29;988,8;989,5;988,8;4,6;95;10,1;3125,4;0
ARAPIRACA;14/10/2023;1500;30;32,4;29,5;988;988,8;988;4,1;99;10;2043,3;0
ARAPIRACA;14/10/2023;1600;30,8;31,5;30;986,9;988;986,9;5,1;110;10,9;2324,2;0
ARAPIRACA;14/10/2023;1700;31,9;32,5;30,8;986,7;986,9;986,6;4,7;118;10,8;2915,3;0
ARAPIRACA;14/10/2023;1800;30,9;32,1;30,5;986,9;986,9;986,7;4,3;112;10,3;2063,6;0
ARAPIRACA;14/10/2023;1900;28,6;30,9;28,6;987,4;987,4;986,8;4,8;119;10,3;1164,1;0
ARAPIRACA;14/10/2023;2000;25,6;28,6;25,6;988,2;988,2;987,4;4,1;114;10,1;190,1;0
ARAPIRACA;14/10/2023;2100;24,3;25,6;24,3;988,7;988,7;988,2;4,1;116;9,3;0,3;0
ARAPIRACA;14/10/2023;2200;23,4;24,3;23,4;989,2;989,2;988,7;3,2;114;9,3;;0
ARAPIRACA;14/10/2023;2300;22,9;23,4;22,9;990,1;990,1;989,3;3,3;108;7;;0
ARAPIRACA;15/10/2023;0;22,6;22,9;22,6;991,1;991,1;990,1;2,3;103;7;;0
ARAPIRACA;15/10/2023;100;22,2;22,6;22,2;991,5;991,5;991,1;2,1;95;4,4;;0
ARAPIRACA;15/10/2023;200;21,8;22,2;21,8;991,2;991,5;991,2;1,5;87;3,7;;0
ARAPIRACA;15/10/2023;300;21,4;21,8;21,2;990,8;991,2;990,8;1,8;111;2,7;;0
ARAPIRACA;15/10/2023;400;21,2;21,6;21,2;990,2;990,8;990,2;1,2;117;3,2;;0
ARAPIRACA;15/10/2023;500;21;21,3;20,9;989,5;990,2;989,5;0,8;100;2,6;;0
ARAPIRACA;15/10/2023;600;20,8;21,1;20,7;989,4;989,5;989,3;1,3;107;2,1;;0
ARAPIRACA;15/10/2023;700;20,8;21;20,8;989,7;989,7;989,4;0,2;157;2,1;;0
ARAPIRACA;15/10/2023;800;20,5;20,9;20,5;989,9;989,9;989,7;1,4;125;2,1;;0
ARAPIRACA;15/10/2023;900;21,4;21,5;20,4;990,6;990,6;989,9;0,4;80;2,2;205,7;0
ARAPIRACA;15/10/2023;1000;24,2;24,2;21,4;991,2;991,3;990,6;2,8;124;6,6;972;0
ARAPIRACA;15/10/2023;1100;25,3;25,4;24;991,5;991,5;991,2;3,7;121;8,6;1222,7;0
ARAPIRACA;15/10/2023;1200;28,1;28,3;25,3;991,6;991,6;991,4;5;122;9,7;2209,9;0
ARAPIRACA;15/10/2023;1300;29,5;30;28,1;991,4;991,6;991,2;5,1;127;10,6;2891,5;0
ARAPIRACA;15/10/2023;1400;28,5;31;28,5;991;991,4;990,9;4,6;110;10,6;3010;0
ARAPIRACA;15/10/2023;1500;31;31;28,1;989,7;991;989,7;4,6;132;9,3;2809,5;0
ARAPIRACA;15/10/2023;1600;31,9;32;30,1;988,7;989,8;988,7;4,3;123;10,7;3517,5;0
ARAPIRACA;15/10/2023;1700;30,4;32,1;29,1;988;988,7;988;4;129;10,4;2469,5;0
ARAPIRACA;15/10/2023;1800;29,3;31;29,3;987,7;988;987,5;4,5;121;9,4;2298,7;0
ARAPIRACA;15/10/2023;1900;27,4;29,5;27,4;988,2;988,2;987,7;4,1;149;10,5;1173,4;0
ARAPIRACA;15/10/2023;2000;25,5;27,5;25,5;988,5;988,5;988,2;3,5;127;9;458,3;0
ARAPIRACA;15/10/2023;2100;23,7;25,5;23,7;989;989;988,6;2,5;139;8,1;14,3;0
ARAPIRACA;15/10/2023;2200;22,9;23,7;22,9;989,8;989,8;989;1,7;138;5,6;;0
ARAPIRACA;15/10/2023;2300;22,1;22,9;22,1;990,5;990,5;989,8;0,6;159;3,8;;0
ARAPIRACA;16/10/2023;0;21,3;22,1;21,3;991;991;990,5;0,4;152;2,5;;0
ARAPIRACA;16/10/2023;100;21,1;21,5;21,1;991,1;991,2;991;0,1;205;1,5;;0
ARAPIRACA;16/10/2023;200;21,2;21,4;21,1;990,8;991,1;990,8;0,3;160;3,3;;0
ARAPIRACA;16/10/2023;300;20,8;21,3;20,8;990,2;990,7;990,2;0,1;202;1,5;;0
ARAPIRACA;16/10/2023;400;19,9;20,8;19,9;989,6;990,2;989,6;0;2;1;;0
ARAPIRACA;16/10/2023;500;19,3;19,9;19,3;988,9;989,6;988,9;0;66;0,3;;0
ARAPIRACA;16/10/2023;600;18,7;19,7;18,7;988,8;988,9;988,8;0;134;1,1;;0
ARAPIRACA;16/10/2023;700;18,6;19,2;18,3;988,7;988,8;988,5;0;10;0,5;;0
ARAPIRACA;16/10/2023;800;18,1;19,3;18;988,7;988,7;988,6;0;39;1,2;;0
ARAPIRACA;16/10/2023;900;19,9;19,9;18,1;989,4;989,4;988,7;0;5;0,3;168,1;0
ARAPIRACA;16/10/2023;1000;22,8;22,9;19,9;990,1;990,1;989,4;1,3;143;2,9;1018,4;0
ARAPIRACA;16/10/2023;1100;25,6;26,2;22,8;990,5;990,6;990,1;3,2;121;7,5;1823,7;0
ARAPIRACA;16/10/2023;1200;27,6;27,9;25,5;990,5;990,7;990,5;2,5;151;8,1;2474;0
ARAPIRACA;16/10/2023;1300;28;29,7;27,2;990,2;990,5;990,2;2,5;160;7,8;2716;0
ARAPIRACA;16/10/2023;1400;29,9;30,8;28;989,6;990,2;989,6;2,9;156;7,6;3280,8;0
ARAPIRACA;16/10/2023;1500;29,4;31,5;28,9;988,9;989,6;988,9;2,8;166;7,5;2967,7;0
ARAPIRACA;16/10/2023;1600;29,1;30,7;29,1;988,2;988,9;988,2;3,1;141;7,2;2180,4;0
ARAPIRACA;16/10/2023;1700;29,4;30,6;29;987,4;988,2;987,4;3,2;143;8,2;2165,3;0
ARAPIRACA;16/10/2023;1800;28,6;29,7;28,6;987;987,4;987;3,7;134;7,9;1380,8;0
ARAPIRACA;16/10/2023;1900;28,4;29,8;28,3;987;987;986,9;3,4;141;9,3;1580;0
ARAPIRACA;16/10/2023;2000;25,2;28,4;25,2;987,5;987,6;987;2,7;145;7,9;477,4;0
ARAPIRACA;16/10/2023;2100;23,4;25,2;23,4;988,2;988,2;987,5;2,1;142;6,5;9,2;0
ARAPIRACA;16/10/2023;2200;22,7;23,4;22,7;988,8;988,8;988,2;1,7;143;4,9;;0
ARAPIRACA;16/10/2023;2300;22,4;23;22,4;989,3;989,3;988,8;2,2;103;4,5;;0
ARAPIRACA;17/10/2023;0;21,4;22,4;21,3;989,5;989,5;989,2;0,5;97;4,7;;0
ARAPIRACA;17/10/2023;100;20,5;21,4;20,5;989,2;989,5;989,2;0,8;74;2,1;;0
ARAPIRACA;17/10/2023;200;20,9;20,9;20,3;988,7;989,2;988,7;0,6;106;1,8;;0
ARAPIRACA;17/10/2023;300;20,6;20,9;20,1;987,8;988,7;987,8;0;184;1,8;;0
ARAPIRACA;17/10/2023;400;19,6;20,6;19,6;987,2;987,8;987,2;0;314;0,1;;0
ARAPIRACA;17/10/2023;500;20,1;20,1;19,6;986,9;987,2;986,9;1;244;1,7;;0
ARAPIRACA;17/10/2023;600;19,6;20,2;19,4;986,8;986,9;986,7;0;338;1,7;;0
ARAPIRACA;17/10/2023;700;19,4;19,8;19,4;987,2;987,2;986,8;0;335;1,2;;0
ARAPIRACA;17/10/2023;800;19,5;19,9;19,3;987,7;987,7;987,2;0,1;177;1,3;;0
ARAPIRACA;17/10/2023;900;20,9;20,9;19,5;988,1;988,1;987,7;0,3;170;2,2;229,5;0
ARAPIRACA;17/10/2023;1000;22,8;22,8;20,9;989;989;988,1;2;144;4,9;1064,3;0
ARAPIRACA;17/10/2023;1100;25,9;25,9;22,8;989,2;989,3;989;2,4;170;6,7;2008,2;0
ARAPIRACA;17/10/2023;1200;27,8;27,8;25,9;989,3;989,3;989;1,9;169;6,3;2585;0
ARAPIRACA;17/10/2023;1300;27,3;28,5;27;989,3;989,4;989,2;2,5;175;7,5;2133,2;0
ARAPIRACA;17/10/2023;1400;28,6;30,1;27,3;988,8;989,3;988,8;2;173;9,3;3118,3;0
ARAPIRACA;17/10/2023;1500;28,8;29,8;27,8;988;988,8;988;2,9;151;7,7;2221,6;0
ARAPIRACA;17/10/2023;1600;28,8;29,7;27,8;987,1;988;987,1;2;175;7,9;2367,5;0
ARAPIRACA;17/10/2023;1700;28,9;29,5;27,6;986,7;987,1;986,7;2,9;161;9,9;2309,8;0
ARAPIRACA;17/10/2023;1800;27,7;29,1;27,6;986,6;986,7;986,5;3,5;146;8,4;1865,1;0
ARAPIRACA;17/10/2023;1900;26,5;28,4;26,3;987;987;986,6;2,8;149;7,7;1179,2;0
ARAPIRACA;17/10/2023;2000;24,4;26,5;24,4;987,3;987,3;987;2,4;152;6,8;329,3;0
ARAPIRACA;17/10/2023;2100;22,7;24,4;22,7;987,8;987,8;987,3;1,9;141;5,6;14,4;0
ARAPIRACA;17/10/2023;2200;21,6;22,7;21,6;988,3;988,3;987,8;0,8;141;4,8;;0
ARAPIRACA;17/10/2023;2300;21,9;21,9;21,3;989,2;989,2;988,3;1,6;146;5,1;;0
ARAPIRACA;18/10/2023;0;21,4;22;21,4;989,5;989,5;989,2;1,6;81;5,1;;0
ARAPIRACA;18/10/2023;100;20,8;21,4;20,8;989,3;989,5;989,3;0,1;358;3,2;;0
ARAPIRACA;18/10/2023;200;20,5;20,8;20,3;988,9;989,3;988,9;1,2;80;2;;0
ARAPIRACA;18/10/2023;300;20,6;20,6;20,5;988,6;988,9;988,5;2,9;82;6;;0
ARAPIRACA;18/10/2023;400;20,3;20,6;20,3;988,2;988,6;988,2;1,4;75;5,2;;0
ARAPIRACA;18/10/2023;500;20,3;20,4;20,1;987,9;988,2;987,9;0,8;32;2,8;;0
ARAPIRACA;18/10/2023;600;20,4;20,4;20,2;988;988;987,7;0,4;252;1,9;;0
ARAPIRACA;18/10/2023;700;20;20,4;20;988,3;988,3;988;0,9;234;1,9;;0
ARAPIRACA;18/10/2023;800;19,6;20;19,6;988,2;988,3;988,1;0,9;204;3,1;;0
ARAPIRACA;18/10/2023;900;20;20;19,4;988,7;988,7;988,2;1,1;151;3,2;103,8;0
ARAPIRACA;18/10/2023;1000;22,5;22,5;20;989,1;989,2;988,7;0,5;166;3,1;674,3;0
ARAPIRACA;18/10/2023;1100;25,8;25,8;22,5;989,5;989,5;989,1;2;142;6,2;1994,2;0
ARAPIRACA;18/10/2023;1200;26,5;27;24,3;989,4;989,6;989,4;1,8;153;6,5;2353,3;0
ARAPIRACA;18/10/2023;1300;26,8;27,9;26,2;989;989,4;989;2,3;152;5,5;2335,2;0
ARAPIRACA;18/10/2023;1400;28,1;29,3;26,6;988,5;989;988,5;1,5;153;6,2;2841,9;0
ARAPIRACA;18/10/2023;1500;29,4;30;27,4;987,2;988,5;987,2;2,9;114;6,5;3259,5;0
ARAPIRACA;18/10/2023;1600;29,2;30,8;28,1;986,3;987,2;986,3;4;117;7,2;2726,5;0
ARAPIRACA;18/10/2023;1700;30,3;30,7;28,6;985,5;986,3;985,5;4,1;135;9,5;2741,3;0
ARAPIRACA;18/10/2023;1800;27;30,5;27;985,2;985,5;985,2;2,9;132;8,7;1516,1;0
ARAPIRACA;18/10/2023;1900;25,7;27;25,7;985,7;985,7;985,2;2,8;154;7,2;363,5;0
ARAPIRACA;18/10/2023;2000;24,6;26,6;24,6;986,2;986,2;985,7;2,8;137;7,5;533,8;0
ARAPIRACA;18/10/2023;2100;22,9;24,6;22,9;986,7;986,7;986,2;2;139;6,1;10,2;0
ARAPIRACA;18/10/2023;2200;21,8;22,9;21,8;987;987;986,7;1,6;137;4,5;;0
ARAPIRACA;18/10/2023;2300;21,1;21,8;21,1;987,6;987,6;987;1,1;142;3,9;;0
ARAPIRACA;19/10/2023;0;20,7;21,1;20,7;988;988,1;987,5;1,2;117;2,8;;0
ARAPIRACA;19/10/2023;100;20;20,8;20;988,3;988,4;988,1;1,1;82;2;;0
ARAPIRACA;19/10/2023;200;20;20,1;19,9;987,8;988,3;987,8;1,4;87;2,5;;0
ARAPIRACA;19/10/2023;300;19,7;20,2;19,7;987,3;987,8;987,3;0,5;85;2,5;;0
ARAPIRACA;19/10/2023;400;19,5;19,8;19,2;986,9;987,3;986,9;0,2;71;1;;0
ARAPIRACA;19/10/2023;500;19,5;19,6;19,2;986,6;986,9;986,6;0;49;0,7;;0
ARAPIRACA;19/10/2023;600;19,3;19,6;19,2;986,5;986,6;986,5;0;88;0,4;;0
ARAPIRACA;19/10/2023;700;19,1;19,8;18,9;986,8;986,8;986,5;0,1;38;0,8;;0
ARAPIRACA;19/10/2023;800;19,3;19,6;19,1;987,4;987,4;986,8;0;277;1;;0
ARAPIRACA;19/10/2023;900;20,7;20,7;19,1;988;988;987,4;0;357;0,6;236,7;0
ARAPIRACA;19/10/2023;1000;23,1;23,1;20,7;988,9;988,9;988;0,7;40;2;1052,1;0
ARAPIRACA;19/10/2023;1100;24,7;25,2;23,1;989,4;989,4;988,9;1,5;85;4,2;1519,9;0
ARAPIRACA;19/10/2023;1200;27,4;27,6;24,6;989,4;989,6;989,4;1,1;98;4,5;2246,9;0
ARAPIRACA;19/10/2023;1300;28,6;29,1;27;989,1;989,4;989,1;1,2;104;6,4;3066,9;0
ARAPIRACA;19/10/2023;1400;29,4;30,2;28,2;988,2;989,1;988,2;1,4;151;6,1;2239;0
ARAPIRACA;19/10/2023;1500;30;31,5;29,4;987,3;988,2;987,3;1,1;142;5,1;2517;0
ARAPIRACA;19/10/2023;1600;31;32,4;29,9;986,3;987,3;986,3;1,8;176;5,9;2539,2;0
ARAPIRACA;19/10/2023;1700;30;32,7;29,6;986,2;986,3;986,1;2,7;148;6,5;1904;0
ARAPIRACA;19/10/2023;1800;27,9;31,5;27,8;985,9;986,2;985,9;3,9;117;8,7;967,5;0
ARAPIRACA;19/10/2023;1900;28,4;29,3;27,9;986;986,1;985,9;3,7;132;8,7;1364,1;0
ARAPIRACA;19/10/2023;2000;26,1;28,4;26,1;986,5;986,5;986;4,3;115;7,5;510,8;0
ARAPIRACA;19/10/2023;2100;24,3;26,1;24,3;987,3;987,3;986,5;3,2;122;7,3;14,9;0
ARAPIRACA;19/10/2023;2200;23,3;24,3;23,3;988;988;987,3;2,5;118;7,3;;0
ARAPIRACA;19/10/2023;2300;22,5;23,3;22,5;988,7;988,7;988;1,6;114;5;;0
ARAPIRACA;20/10/2023;0;22,2;22,5;22,1;989,2;989,2;988,7;1,6;119;3,5;;0
ARAPIRACA;20/10/2023;100;22;22,2;22;989,4;989,5;989,2;1,5;106;3,3;;0
ARAPIRACA;20/10/2023;200;21,6;22;21,5;989;989,4;989;1,3;137;3;;0
ARAPIRACA;20/10/2023;300;21,9;21,9;21,6;988,5;989;988,5;0,9;165;3;;0
ARAPIRACA;20/10/2023;400;21,4;22;21,4;987,9;988,5;987,9;0,8;150;2,9;;0
ARAPIRACA;20/10/2023;500;20,9;21,4;20,9;987,6;987,9;987,5;0,5;140;2,1;;0
ARAPIRACA;20/10/2023;600;20,8;21;20,7;987,4;987,6;987,3;0,1;156;1,6;;0
ARAPIRACA;20/10/2023;700;21,3;21,3;20,7;987,8;987,8;987,4;0,1;244;1,2;;0
ARAPIRACA;20/10/2023;800;21,2;21,4;21,2;988,1;988,1;987,8;0;36;0,8;;0
ARAPIRACA;20/10/2023;900;21,9;21,9;21;988,7;988,7;988,1;0,3;193;1,3;243,4;0
ARAPIRACA;20/10/2023;1000;23,7;23,7;21,9;989,2;989,2;988,7;0,6;148;2,5;764,2;0
ARAPIRACA;20/10/2023;1100;24,3;24,8;23,6;989,5;989,5;989,2;2,7;116;5;1268,6;0
ARAPIRACA;20/10/2023;1200;23,7;24,5;23,3;989,8;989,8;989,5;1,8;128;6,4;562,5;0
ARAPIRACA;20/10/2023;1300;26,9;27;23,7;989,4;989,8;989,4;2,1;123;5,1;1821,1;0
ARAPIRACA;20/10/2023;1400;25,6;28,4;25,6;989;989,4;988,9;2,3;131;5,9;1843;0
ARAPIRACA;20/10/2023;1500;27,9;27,9;24,8;987,8;989;987,8;2,8;115;6,7;1639,2;0
ARAPIRACA;20/10/2023;1600;28,9;29,7;27,9;986,7;987,8;986,7;3,4;132;6,7;2631,7;0
ARAPIRACA;20/10/2023;1700;26,7;28,9;25,4;986,6;986,7;986,6;3,6;139;8,3;985,9;0
ARAPIRACA;20/10/2023;1800;27;27,6;26,7;986,5;986,6;986,5;3,8;116;8,1;1516,6;0
ARAPIRACA;20/10/2023;1900;25,7;27;25,7;986,7;986,7;986,4;2,9;137;7,5;560,6;0
ARAPIRACA;20/10/2023;2000;25;25,8;25;987,4;987,4;986,7;3,1;130;7,3;126,4;0
ARAPIRACA;20/10/2023;2100;23,8;25;23,8;988;988;987,4;2,9;126;7,7;8;0
ARAPIRACA;20/10/2023;2200;22,7;23,8;22,7;988,6;988,6;988;1,8;111;6,5;;0
ARAPIRACA;20/10/2023;2300;22,5;22,7;22,2;989,1;989,1;988,6;2;111;4,4;;0
ARAPIRACA;21/10/2023;0;22;22,5;21,9;989,4;989,5;989,1;1,3;140;4,4;;0
ARAPIRACA;21/10/2023;100;21,8;22;21,6;989,5;989,6;989,4;0,3;73;2,4;;0
ARAPIRACA;21/10/2023;200;22;22,1;21,8;989;989,5;989;0,8;128;1,7;;0
ARAPIRACA;21/10/2023;300;21,9;22;21,7;988,4;989;988,4;0,9;106;1,8;;0
ARAPIRACA;21/10/2023;400;21,8;21,9;21,4;987,9;988,5;987,8;0,2;173;1,7;;0
ARAPIRACA;21/10/2023;500;21,4;21,9;21,4;987,6;988;987,6;0,5;212;1,7;;0
ARAPIRACA;21/10/2023;600;21,5;21,5;21,1;987,6;987,7;987,6;0,3;159;1,5;;0
ARAPIRACA;21/10/2023;700;21,5;21,5;21,3;988;988,1;987,6;0,8;65;1,3;;0
ARAPIRACA;21/10/2023;800;21,8;21,8;21,5;988,2;988,2;988;1,2;106;2,1;0,3;0
ARAPIRACA;21/10/2023;900;22,3;22,4;21,8;988,6;988,7;988,2;1,7;111;5,1;111,5;0
ARAPIRACA;21/10/2023;1000;23,2;23,2;22,3;989,1;989,1;988,6;2,1;117;5,2;481,9;0
ARAPIRACA;21/10/2023;1100;23,6;23,8;23;989,5;989,5;989,1;2,4;135;5,4;828,9;0
ARAPIRACA;21/10/2023;1200;25,1;25,4;23,1;989,5;989,7;989,5;2,5;124;7,8;1578,1;0
ARAPIRACA;21/10/2023;1300;26,8;26,8;24,1;989,1;989,6;989,1;3,7;112;8,1;2292,4;0
ARAPIRACA;21/10/2023;1400;28,3;29,7;26,6;988,3;989,1;988,3;3,6;114;8,3;3146;0
ARAPIRACA;21/10/2023;1500;30,3;30,8;27,9;987,1;988,3;987,1;3,8;122;9,4;3256;0
ARAPIRACA;21/10/2023;1600;25,6;30,4;25,4;986,3;987,1;986,3;3,1;124;8,1;1577,4;0
ARAPIRACA;21/10/2023;1700;26,1;26,7;25;985,9;986,3;985,9;2;165;7,1;1156,5;0
ARAPIRACA;21/10/2023;1800;24,9;26,7;24,4;985,7;985,9;985,7;2,1;151;7;744,1;0
ARAPIRACA;21/10/2023;1900;24,4;25;23,8;986;986;985,7;1,3;160;7;279,5;0
ARAPIRACA;21/10/2023;2000;23,6;24,4;23,6;986,7;986,7;986;1,7;96;5,8;78,8;0
ARAPIRACA;21/10/2023;2100;23,3;23,6;23;987,2;987,2;986,7;2,2;134;5,8;3,3;0
ARAPIRACA;21/10/2023;2200;23,1;23,3;23,1;988;988;987,2;1,9;136;4,3;;0
ARAPIRACA;21/10/2023;2300;23;23,1;23;988,8;988,8;988;0,9;146;4,3;;0
ARAPIRACA;22/10/2023;0;22,6;23,1;22,6;989,3;989,3;988,8;0,8;137;3,2;;0
ARAPIRACA;22/10/2023;100;22,1;22,6;22,1;989,1;989,3;989,1;0,4;149;2;;0
ARAPIRACA;22/10/2023;200;22,3;22,3;22;988,5;989,1;988,5;0,4;180;2,1;;0
ARAPIRACA;22/10/2023;300;21,8;22,4;21,7;987,6;988,5;987,6;0,3;152;2,3;;0
ARAPIRACA;22/10/2023;400;22,4;22,4;21,8;987,3;987,7;987,3;1,3;81;4,3;;0
ARAPIRACA;22/10/2023;500;22;22,4;22;987;987,3;987;0,7;91;2,4;;0
ARAPIRACA;22/10/2023;600;22,1;22,3;22;987,4;987,4;987;1;74;3,4;;0
ARAPIRACA;22/10/2023;700;21,9;22,1;21,9;987,9;987,9;987,4;0,5;75;1,7;;0
ARAPIRACA;22/10/2023;800;21,7;22;21,6;988,3;988,3;987,9;0,1;152;1,3;;0
ARAPIRACA;22/10/2023;900;22,7;22,7;21,5;989;989;988,2;0,6;123;1,6;203,7;0
ARAPIRACA;22/10/2023;1000;23,9;23,9;22,6;989,6;989,6;989;1,9;119;3,7;774,2;0
ARAPIRACA;22/10/2023;1100;24,5;24,8;23,5;989,9;990;989,6;2,8;108;5,2;1120,1;0
ARAPIRACA;22/10/2023;1200;27,3;27,9;24,5;989,6;990;989,6;3,1;117;6,4;2388,9;0
ARAPIRACA;22/10/2023;1300;27,3;27,6;26,5;989,2;989,7;989,2;2,6;103;6,5;1568,1;0
ARAPIRACA;22/10/2023;1400;25,9;27,3;25,3;988,5;989,3;988,5;3;76;6,7;1752,1;0
ARAPIRACA;22/10/2023;1500;27,1;28,9;25,8;987,4;988,5;987,4;2,9;100;6,8;2271,5;0
ARAPIRACA;22/10/2023;1600;28,9;28,9;27;986,2;987,4;986,2;3,8;122;7,7;1872,3;0
ARAPIRACA;22/10/2023;1700;26,6;29,9;26,2;985,9;986,3;985,9;1,6;146;8,5;1811,3;0
ARAPIRACA;22/10/2023;1800;28,8;28,8;26,6;985,6;985,9;985,6;3,6;111;8,8;1501,2;0
ARAPIRACA;22/10/2023;1900;26,8;29;26,8;985,8;985,8;985,4;3,9;106;9,4;956,5;0
ARAPIRACA;22/10/2023;2000;25,7;27,3;25,7;986,5;986,5;985,8;3,4;111;8,3;423,1;0
ARAPIRACA;22/10/2023;2100;23,9;25,6;23,9;987,5;987,5;986,5;2,2;110;6,8;9,9;0,2
ARAPIRACA;22/10/2023;2200;23,4;23,9;23,4;988;988;987,5;2,1;116;5,5;;0
ARAPIRACA;22/10/2023;2300;22,9;23,4;22,9;988,5;988,5;987,9;1,6;108;4,1;;0
ARAPIRACA;23/10/2023;0;22,3;22,9;22,3;988,9;989;988,5;1,4;115;3,3;;0
ARAPIRACA;23/10/2023;100;22,2;22,3;22,1;988,9;989,1;988,9;2,2;123;3,8;;0
ARAPIRACA;23/10/2023;200;21,6;22,2;21,6;988,2;988,9;988,2;1;86;3,8;;0
ARAPIRACA;23/10/2023;300;21,3;21,7;21,3;987,7;988,3;987,6;1,1;130;2,1;;0
ARAPIRACA;23/10/2023;400;21;21,4;21;987;987,7;987;1,3;123;2,1;;0
ARAPIRACA;23/10/2023;500;21,2;21,2;20,8;986,6;987;986,5;1;130;2,6;;0
ARAPIRACA;23/10/2023;600;21;21,2;20,9;986,8;986,8;986,5;0,7;88;2,2;;0
ARAPIRACA;23/10/2023;700;20,7;21;20,5;987,4;987,4;986,8;0,6;66;1,4;;0
ARAPIRACA;23/10/2023;800;20,7;20,8;20,5;988,2;988,2;987,4;0,2;137;1,8;;0
ARAPIRACA;23/10/2023;900;21;21;20,7;989;989;988,2;0;24;1,5;141;0
ARAPIRACA;23/10/2023;1000;23,6;23,6;21;990;990;989;1,5;114;4,4;537,4;0
ARAPIRACA;23/10/2023;1100;23,6;24,3;23,3;990,6;990,6;990;1,8;127;6,3;1110,7;0
ARAPIRACA;23/10/2023;1200;26,7;26,7;23,6;990,2;990,6;990,2;2,9;127;6,2;2138,9;0
ARAPIRACA;23/10/2023;1300;29,6;29,6;26,7;989,3;990,2;989,3;2,6;115;7,4;3050,5;0
ARAPIRACA;23/10/2023;1400;30,4;30,7;29,1;988,6;989,4;988,6;3;119;8,9;3326,8;0
ARAPIRACA;23/10/2023;1500;29,7;31,1;29,6;987,1;988,7;987,1;3,9;81;8,6;2942,6;0
ARAPIRACA;23/10/2023;1600;32,3;32,3;29,7;985,9;987,1;985,8;3;125;8,3;3024;0
ARAPIRACA;23/10/2023;1700;32;32,7;31;985,3;985,9;985,2;2,9;133;7,5;2824,7;0,2
ARAPIRACA;23/10/2023;1800;30,3;32;30,3;984,7;985,3;984,7;4,1;116;8,1;2119,7;0
ARAPIRACA;23/10/2023;1900;28,7;30,2;28,7;984,8;984,9;984,7;4;140;8,6;1177;0
ARAPIRACA;23/10/2023;2000;26;28,7;26;985,7;985,7;984,8;3,3;138;7,9;478,7;0
ARAPIRACA;23/10/2023;2100;24;26;24;986,4;986,4;985,7;2,5;128;7,9;8,3;0
ARAPIRACA;23/10/2023;2200;22,7;24;22,7;987,1;987,1;986,4;2;135;5,2;;0
ARAPIRACA;23/10/2023;2300;21,8;22,7;21,8;988;988;987,1;1,5;119;4,7;;0
ARAPIRACA;24/10/2023;0;20,9;21,8;20,9;988,6;988,7;988;1,1;73;2,5;;0
ARAPIRACA;24/10/2023;100;21,2;21,2;20,9;988,8;988,8;988,6;0,8;121;1,8;;0
ARAPIRACA;24/10/2023;200;20,7;21,2;20,7;987,9;988,8;987,9;0,4;93;1,8;;0
ARAPIRACA;24/10/2023;300;20,5;20,8;20,3;987,4;987,9;987,4;0;109;1,3;;0
ARAPIRACA;24/10/2023;400;20,2;20,5;19,9;986,7;987,4;986,7;0;99;0,9;;0,2
ARAPIRACA;24/10/2023;500;20,1;20,4;19,9;986,7;986,7;986,5;0;159;0,3;;0
ARAPIRACA;24/10/2023;600;19,3;20,1;19,2;986,7;986,8;986,5;0;358;0;;0
ARAPIRACA;24/10/2023;700;20;20;19,2;987,2;987,2;986,7;0,1;209;0,6;;0
ARAPIRACA;24/10/2023;800;18,7;20;18,7;987,5;987,5;987,1;0;29;0,6;;0
ARAPIRACA;24/10/2023;900;21;21;18,7;987,9;987,9;987,5;0;44;0,6;246,2;0
